"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,,
MALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  ALL SITES      DISTRICT :All Districts,,,,,,,,,,,,,,,,,,,,,,,
ICD -10,SITE,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,CR%
C73       ,Thyroid                  ,2131,1.3 ,0.0 ,0.0 ,0.0 ,0.2 ,0.4 ,0.5 ,0.7 ,1.2 ,1.1 ,1.6 ,2.1 ,2.5 ,2.9 ,3.6 ,3.1 ,3.0 ,1.0 ,0.9 ,1.8 ,0.100 
C74       ,"Adrenal  Gland etc.,     ",220,0.1 ,0.6 ,0.3 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.009 
C75       ,Endocrine Glands         ,114,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.0 ,0.1 ,0.1 ,0.1 ,0.005 
C81       ,Hodgkin  Disease         ,1485,0.9 ,0.2 ,0.9 ,0.6 ,0.9 ,0.8 ,0.6 ,0.5 ,0.7 ,0.6 ,0.8 ,0.9 ,0.9 ,1.0 ,1.3 ,1.2 ,0.9 ,0.7 ,0.7 ,0.8 ,0.059 
"C82-86,96 ",Non-Hodg Lymphoma        ,4511,2.7 ,0.7 ,0.9 ,0.6 ,0.8 ,0.8 ,0.8 ,1.0 ,1.2 ,1.7 ,2.7 ,4.0 ,5.2 ,5.9 ,8.6 ,9.4 ,8.5 ,2.2 ,2.1 ,3.2 ,0.222 
C90       ,Multiple Myeloma         ,2138,1.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.3 ,0.5 ,1.1 ,2.2 ,3.2 ,4.5 ,6.1 ,5.4 ,5.8 ,1.1 ,1.0 ,1.7 ,0.118 
C91       ,Lymphoid Leukaemia       ,3143,1.9 ,4.2 ,4.3 ,2.4 ,1.6 ,1.0 ,0.7 ,0.6 ,0.6 ,0.5 ,0.6 ,1.0 ,1.1 ,1.5 ,2.3 ,2.2 ,2.7 ,1.5 ,1.9 ,0.8 ,0.122 
C92-C94   ,Myeloid Leukaemia        ,3240,1.9 ,0.6 ,0.5 ,0.6 ,0.8 ,1.0 ,1.1 ,1.5 ,1.8 ,1.8 ,2.0 ,2.4 ,3.0 ,3.1 ,4.1 ,3.3 ,3.0 ,1.6 ,1.5 ,2.3 ,0.139 
C95       ,Unspeci. Leukaemia       ,501,0.3 ,0.3 ,0.1 ,0.2 ,0.2 ,0.2 ,0.1 ,0.2 ,0.2 ,0.1 ,0.3 ,0.3 ,0.3 ,0.4 ,0.6 ,0.6 ,1.0 ,0.2 ,0.2 ,0.3 ,0.021 
Oth & Unsp,Others & Unspecified     ,383,0.2 ,0.1 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.1 ,0.3 ,0.4 ,0.5 ,0.6 ,0.7 ,0.6 ,0.6 ,0.2 ,0.2 ,0.3 ,0.019 
C76-80    ,Primary Uncertain        ,25820,15.5 ,0.4 ,0.5 ,0.6 ,0.9 ,1.4 ,1.5 ,2.7 ,4.8 ,7.4 ,12.7 ,22.8 ,34.3 ,44.6 ,65.3 ,71.9 ,92.4 ,12.7 ,11.7 ,18.7 ,1.351 
TOTAL, ,166346,100.0 ,10.9 ,10.1 ,7.9 ,9.5 ,11.1 ,12.7 ,20.7 ,35.9 ,55.0 ,92.9 ,157.4 ,224.3 ,293.9 ,407.6 ,402.3 ,429.0 ,81.9 ,75.5 ,127.8 ,8.388 
TOTAL,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,CIR:   Crude Incidence Rate per 100000 population,,,,,,,,,,,,,,,,,,,,,,
,ASR:  Age Standardized Rate per 100000 population,,,,,,,,,,,,,,,,,,,,,,
,T.R:   The Truncated  incidence rete is the age adjusted incidence rate in the  truncated 35-64  year age group.        ,,,,,,,,,,,,,,,,,,,,,,
,C.R:  Cumulative Rate or Risk is the probability of a person developing cancer during their life time (0 - 74) ages.,,,,,,,,,,,,,,,,,,,,,,
